"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"KMRC-20",1.68207,-0.26161,-1.70788,4.64024,1.17878,-0.56818,0.484,0.03918,1.72126,0.60704,0.48685
"KMS-11",-1.22265,-0.83302,1.53554,-0.0839,-2.57474,1.92512,-0.27239,-0.93625,0.23831,-0.0666,3.26495
"KMS-12-BM",-1.66118,-3.58777,0.61502,-0.96234,-1.46661,-0.69267,-0.13848,0.78159,-0.71985,-2.63435,0.79137
"KNS-42",0.42687,-1.06296,-1.54194,2.20972,-0.47739,-0.41904,-0.27576,2.48308,-1.44235,3.5406,0.73791
"KNS-62",-0.25811,-0.83488,0.64478,-0.21012,0.44934,0.93574,2.03267,1.31991,0.66427,-1.14395,0.96892
"KNS-81-FD",2.36218,2.01002,-1.42291,0.08942,0.9682,-1.06687,-2.06314,5.98179,-0.9396,2.66247,-1.42178
"KON",-0.07395,2.9431,0.41961,0.35368,0.548,1.63008,0.82204,-0.12954,2.00268,0.58502,-2.26592
"KOPN-8",-1.20803,-0.12914,2.25862,-1.36519,-0.34771,2.39818,-1.83733,-1.25003,0.05744,-0.42105,1.02056
"KOSC-2",1.17163,-0.03356,-2.54588,1.85799,1.23699,0.94516,2.74037,0.6182,2.48338,-0.71174,-1.52022
"KP-1N",-0.69761,0.90218,-2.4268,-0.00702,0.10507,-1.19845,1.21408,-1.06246,-0.04603,2.36493,-2.04147
"KP-2",-0.07213,1.11431,-1.39311,-0.88904,0.62649,1.04078,0.65641,0.05164,0.54557,-3.09733,-6.96674
"KP-3",1.2813,0.98141,-1.19453,0.05489,0.65993,0.2492,1.00796,-2.16805,0.23331,0.8416,0.1774
"KP-4",0.31266,2.85589,-0.99324,0.55933,0.61959,-0.56428,0.77316,-1.00673,-0.49983,0.38989,0.60983
"KP-N-YN",-0.25596,-0.59433,1.24814,-1.06567,-2.10779,-2.65494,-1.94324,2.1375,-2.00896,1.89735,1.37824
"KS-1",2.329,-0.17672,-0.44898,-0.25554,0.37936,-0.73227,-1.12618,1.24419,-1.23367,1.20895,1.90322
"KU-19-19",1.14264,1.87826,-1.9123,-0.86177,4.35632,-0.06814,1.1321,-0.18236,-0.47294,0.66111,-0.37855
"KU812",-0.87028,0.21191,2.15926,-1.56978,-1.22179,1.03877,-0.36748,-0.38297,0.76053,0.49398,0.18425
"KURAMOCHI",0.76809,-0.01558,1.10558,1.22668,0.765,-1.0915,0.89891,1.81439,-1.05738,2.01833,-0.00112
"KY821",-3.49212,-3.49742,2.93791,-1.61565,-1.55965,1.19419,0.6324,0.49468,-1.08333,-1.18453,-0.56352
"KYAE-1",-1.68242,-0.36681,-0.32824,1.5596,0.14506,0.42125,2.38721,-1.42808,1.32356,-2.87848,-3.07569
"KYM-1",-0.09843,-0.18827,0.83639,-5.3294,-0.35323,-1.78586,-6.01757,1.09084,-1.56391,0.60156,-4.24704
"KYSE-140",-1.03527,0.25002,0.13575,-0.33254,0.00982,-1.0903,-0.51396,1.31046,-1.54785,0.32112,1.03376
"KYSE-150",0.57699,-0.65524,-0.53241,-1.22584,-0.67506,-0.79919,2.13151,-0.17756,-0.34059,1.28745,-1.54084
"KYSE-180",-0.99354,0.26053,1.15936,0.22826,-0.20994,-1.17572,0.54726,-0.58851,-0.51039,-0.99486,-1.15147
"KYSE-220",0.56704,0.78223,-1.33544,0.71236,0.69485,0.12552,2.18099,-0.3668,-1.15712,-1.41751,2.78981
"KYSE-270",1.03263,1.22855,-0.51307,2.79492,1.8677,1.16274,0.43687,2.05358,0.0265,-1.10469,-0.70215
"KYSE-410",-0.09839,-0.61432,-2.20829,0.61398,1.40634,-0.96355,1.81186,-2.13467,-1.05192,-0.3507,0.34792
"KYSE-450",0.30721,0.4482,-0.32472,0.74202,-0.31677,-1.22839,3.90512,-1.30462,-1.74619,0.52083,1.29369
"KYSE-50",-0.54551,1.53618,0.30158,1.76564,1.06215,-0.77507,2.43155,0.90156,-0.02846,-2.02947,-0.55395
"KYSE-510",-0.09771,0.05773,0.19398,1.35923,0.62495,1.47292,3.13794,-1.08592,1.51843,-0.24881,3.25641
"KYSE-520",1.50806,1.38992,0.17562,1.49117,1.3849,-0.44926,2.62906,-0.61986,-1.06733,0.30617,0.44913
"KYSE-70",0.97984,0.53758,-2.26016,0.93198,-0.21612,-0.40924,0.90395,1.19833,-0.41019,0.29154,3.57961
"L-1236",-0.17933,-1.14232,1.43375,-1.725,-0.83495,3.80896,-0.93251,-1.74903,1.29762,-0.81398,-0.09239
"L-363",-1.71597,-1.12721,1.70413,-1.63046,-2.83103,0.86375,2.9029,0.28289,-0.26865,0.81428,1.4027
"L-428",-2.05167,-1.01486,1.02758,-1.66555,-1.2577,3.36045,0.69426,-0.79176,1.30996,-0.49915,0.10387
"L-540",-0.7933,-2.22936,1.15798,-1.02748,-0.12896,3.17282,-1.03624,-0.25131,1.00747,-1.09748,2.83593
"LAMA-84",-0.94328,-0.54457,3.52473,-1.27402,-0.7609,2.32742,0.06512,0.61575,0.35466,0.39573,0.75905
"LAN-6",-0.1116,-0.83726,1.6777,-2.37906,-1.53599,-2.98552,0.64004,0.64297,-3.51605,0.37399,1.61624
"LB1047-RCC",0.75487,0.50017,-1.05539,1.65331,2.58309,2.54767,0.50719,-1.75638,3.01001,2.54829,0.61479
"LB2241-RCC",1.27873,0.59759,-1.60428,-1.26764,-0.09693,0.43902,-0.05807,-1.29859,1.49908,3.10885,-3.7752
"LB2518-MEL",0.54421,1.83772,0.16631,-0.55248,-0.12857,-0.07836,0.74124,-1.89339,-1.28063,3.75036,0.45253
"LB373-MEL-D",0.32102,-0.33311,-0.17987,-0.51078,-0.6163,-0.29714,1.31502,-1.23881,-1.33306,2.88829,-1.12391
"LB647-SCLC",-2.27076,-1.963,-1.51234,-0.71043,-2.10394,-2.32851,-0.23012,1.38741,-3.76647,-0.80519,0.3161
"LB771-HNC",-0.16161,0.35707,0.12377,1.54662,0.39575,-0.01978,0.51488,-2.13044,1.29547,0.43497,1.31325
"LB831-BLC",1.77364,1.36053,-4.22283,1.14595,1.20764,-0.00349,-0.74441,-3.64624,1.53133,2.33378,-0.03819
"LB996-RCC",0.93037,0.75899,-2.79774,0.31424,0.71504,-0.44178,0.60942,0.10454,1.29509,2.47194,-0.905
"LC-1-sq",-0.06508,1.23758,-1.39815,0.92077,-0.87077,-0.2013,1.20295,-0.57917,-1.49368,1.07748,0.53521
"LC-2-ad",0.06094,0.16779,0.92666,3.45684,2.56666,1.12907,2.96798,-1.61116,0.75513,-1.23003,-2.31884
"LC4-1",-2.53342,-1.09033,1.80799,-2.56016,-1.40779,0.41627,-0.59121,-0.62226,-0.89977,0.57692,0.39128
"LCLC-103H",0.40304,1.606,-1.15702,-0.38124,0.20959,1.40385,-0.54189,-0.36615,0.78732,1.33342,1.59606
"LCLC-97TM1",-0.77636,-1.27065,-2.58953,1.4775,2.1573,1.93529,2.64661,-1.26658,1.05531,-1.87306,0.22629
"LK-2",0.51518,0.44147,-0.20991,0.30185,-0.66666,0.35654,3.42371,1.47087,-1.40235,0.74323,0.10234
"LN-18",2.15379,1.47865,0.25974,1.47952,1.20806,-0.77016,-0.47473,1.28965,0.15558,1.45105,-0.02394
"LN-229",1.73104,-0.08586,-0.21362,2.25074,0.40543,-0.25717,-0.49295,-0.4278,0.27265,1.02297,-0.61523
"LN-405",2.93463,0.83229,-4.4864,1.06318,0.60302,-0.24993,-2.46109,3.07378,0.80444,3.2539,-0.10411
"LNCaP-Clone-FGC",-2.31654,0.32159,0.4359,-0.27085,-2.3235,-2.1502,1.23119,-1.43658,-1.64089,-0.26723,1.03253
"LNZTA3WT4",2.82761,1.85059,-0.91463,-0.61954,0.40026,-0.68089,-2.10086,1.72831,-0.3009,1.13791,0.74904
"LOU-NH91",1.53728,0.5549,-1.96732,0.48821,1.28906,-0.69682,-0.71678,-3.00822,-0.64063,0.49956,-0.19085
"LOUCY",-0.65712,0.72592,2.4331,-1.8446,-1.02373,1.21618,-1.74918,0.66876,-1.74645,0.97134,0.56988
"LoVo",-0.8475,-2.37145,-0.52816,2.04551,2.9968,0.11698,2.77278,0.28758,0.79875,-3.51278,-0.95609
"LOXIMVI",1.88329,2.22787,-3.28768,1.80381,0.96078,0.77361,-0.32397,-3.04617,2.53786,0.18811,-1.92335
"LP-1",0.23124,0.71628,1.3851,-2.62096,-1.50213,0.35298,0.6268,-0.43285,-0.02002,-0.28661,1.41908
"LS-1034",-1.02066,-1.07903,2.32678,0.4826,1.87776,-0.26937,1.16009,-1.93767,-0.18218,-2.11445,0.57273
"LS-123",0.09565,-1.1769,-0.39541,-0.36529,1.5833,1.67777,0.70879,0.05234,1.42873,0.6612,-0.36532
"LS-180",-0.09443,-0.78855,0.35753,1.38519,0.76483,-0.3683,1.08035,-0.56109,-0.29018,-2.63467,1.16426
"LS-411N",-0.48025,-2.05601,2.08364,0.59038,-0.35809,-0.29649,1.35438,-0.78685,-0.10016,-1.49745,-2.39611
"LS-513",-0.89855,-1.9298,-0.69196,0.23286,0.03055,-0.31645,3.83105,0.32457,0.13771,-1.54331,-2.59826
"LU-134-A",-0.74906,-2.10966,1.17682,-0.26343,-2.15204,-1.97576,-0.72694,3.35602,-2.28408,-0.55633,0.53554
"LU-135",-1.86377,-2.34214,0.45047,0.53087,-1.09629,-1.68116,-0.68219,1.28804,-2.05478,0.32017,0.6367
"LU-139",-2.07139,-2.17648,0.35493,-2.24628,-1.93528,-1.26002,0.02935,-1.13198,-3.88235,-0.70295,-0.72021
"LU-165",-0.91435,-0.73746,0.89622,-0.89119,-3.77014,-3.76694,-0.97055,2.31818,-2.19223,-0.60619,-2.29796
"LU-65",1.45449,2.05388,-2.06405,3.35796,1.76221,-0.6965,0.05707,-1.92708,2.08012,2.31853,1.06052
"LU-99A",1.94605,3.13785,-0.38515,-7e-05,2.76671,-0.18627,-0.6905,-1.45535,0.02075,0.63675,2.14708
"LXF-289",2.68242,2.24091,-2.8425,0.95569,1.37516,0.11589,-0.65384,0.70756,1.74549,0.77603,-1.71901
"M059J",2.70672,1.27639,-1.9591,3.31127,2.6256,-0.10232,-1.49976,2.20258,0.78555,1.93064,-0.18409
"M14",-0.29571,-0.47848,0.14314,-0.02467,0.0014,0.99707,1.37818,1.35387,-0.75845,2.13401,0.51739
"MC-CAR",-2.10358,-1.69068,2.84269,-0.88792,-1.34532,3.73001,-1.26615,-2.23534,1.12459,2.17722,-0.84134
"MC116",-1.94765,-0.70342,1.90739,-2.0586,-1.62528,2.76995,-1.60723,-0.98591,1.04653,0.70374,2.35562
"MCF7",-2.54269,-1.13682,0.01209,-0.21364,0.90299,-1.54343,0.84292,-0.43218,-0.69382,-1.76162,-0.02077
"MDA-MB-157",0.63331,1.46567,1.02451,-0.85481,-0.17675,-0.31617,0.4365,1.8697,-1.27992,4.28085,-1.00253
"MDA-MB-231",1.63479,0.56263,-0.14169,0.15979,2.51459,0.40702,-1.07367,0.06379,1.44239,1.30829,-1.20592
"MDA-MB-330",-1.85689,0.14522,-0.75608,1.24962,-0.26308,-0.67586,1.36572,-2.72814,-0.73644,-4.69032,-2.72429
"MDA-MB-361",-1.69073,-0.32042,0.8143,1.0685,-0.29015,-2.82698,2.0355,-2.34791,-1.19832,-2.1673,-0.19253
"MDA-MB-415",0.54755,-2.00487,0.17419,0.49161,0.55122,-2.21113,3.52265,-1.19303,-1.11481,-3.16079,0.50986
"MDA-MB-436",-0.09907,0.28974,-0.07194,0.31771,0.79667,0.74549,-0.69956,-2.14576,2.73591,0.1725,1.50571
"MDA-MB-453",-0.54907,-2.31204,-0.59571,-2.30277,-1.21518,-1.6469,2.6625,-1.20308,-1.89358,-0.43481,-1.09019
"MDA-MB-468",-0.38408,0.61118,0.68764,-1.29069,1.31613,0.0998,4.24333,0.62507,0.60222,-1.4599,-0.99773
"MDST8",1.99028,1.32288,-1.39763,-0.38462,0.08938,-0.84812,-1.04824,2.27876,0.90412,2.11261,-0.98691
"ME-1",-1.94488,-1.14521,2.69357,-1.84498,-2.15345,0.83345,-1.12781,1.12888,-1.12427,0.64535,-0.88355
"ME-180",0.3973,1.56854,0.65576,-0.24451,0.21543,1.56617,1.07048,1.38867,0.04543,-0.65713,-0.50439
"MEG-01",-1.05952,0.50188,3.24425,-0.05029,-0.11874,2.76548,1.02809,-0.5871,0.91382,0.49089,-0.23171
"MEL-HO",0.07132,1.22686,0.94284,2.75251,0.00666,-0.23559,0.09154,-1.05015,-0.01871,2.97348,0.79933
"MEL-JUSO",1.03464,3.5823,-0.99645,0.48464,1.0458,-0.0014,-1.83138,-1.73941,-0.36003,1.88605,-0.32899
"MES-SA",1.58902,0.18168,0.60374,-2.58311,-0.61673,-0.82661,0.06172,-0.49683,-1.1502,0.75518,1.07674
"Mewo",1.39748,-0.11712,0.06258,-0.31583,-0.47988,-0.27653,-1.05816,-1.72339,-1.22801,1.83115,0.55253
"MFE-280",-0.10754,-0.47764,0.96273,0.51395,-0.44492,-4.06337,-0.74407,2.40754,-1.28743,-0.32819,2.19764
"MFE-296",1.19981,0.29898,0.11576,-0.52098,0.07292,-0.94505,0.08432,-0.7692,-1.72323,-0.82574,1.69529
"MFE-319",1.64791,2.07813,-0.49965,0.69984,0.58434,0.90179,1.69347,3.01002,-0.0916,0.04629,0.90929
"MFH-ino",3.52702,0.8399,-0.804,1.23671,2.23427,-0.53627,-2.50819,1.23002,0.20937,2.82426,0.21302
"MFM-223",0.18158,0.10995,0.74107,-0.71057,-0.27869,-1.42196,1.10118,-1.42305,-0.59104,-1.98801,0.69429
"MG-63",2.72276,1.92482,-2.09683,1.5026,0.06357,-0.33192,-2.06314,2.7567,-0.92396,3.76577,0.51336
"MHH-CALL-2",-1.31619,0.50335,1.66204,-2.69924,-2.89961,2.48247,-2.3192,-1.24575,-0.59854,-0.35406,-1.89001
"MHH-CALL-4",-2.62322,-0.5139,2.25469,-4.27538,-2.05474,2.44562,-1.62324,0.03091,-0.82492,0.11456,-0.31906
"MHH-NB-11",-1.55324,-1.4557,1.09431,-1.35537,-1.23108,-3.663,-0.41044,3.31975,-1.97565,1.2247,1.7286
"MHH-PREB-1",-1.63174,-0.99124,1.83401,0.88177,-1.57664,-0.35972,-0.11162,-0.1026,-0.37748,0.12269,3.04794
"MIA-PaCa-2",-0.03289,-0.73013,0.54595,0.02455,1.84382,-4.58035,0.01247,-0.93954,0.49207,-1.49528,0.60654
"MKN1",1.03414,0.51318,-0.94791,-0.35762,2.94429,0.99333,0.72153,1.46928,0.16079,-0.09184,-0.5601
"MKN28",-1.20373,-0.8455,-1.18388,-0.45869,-0.07605,-0.23431,0.89693,-1.57388,-0.12066,-2.18441,-1.09391
"MKN45",-1.3526,-1.57165,0.29636,0.87342,1.99318,-1.50753,1.88737,-0.14653,-1.2019,-1.51452,2.61054
"MKN7",0.9496,0.04261,1.70881,0.87397,2.44716,1.45225,2.35812,-2.23501,0.82533,-1.03846,-1.60581
"ML-1",2.66135,3.30158,-1.99776,1.28852,2.63216,1.50797,0.21865,1.66984,1.17291,1.10899,-1.07788
"ML-2",-3.33864,-1.41549,3.82244,0.21575,-1.25015,2.06038,-0.79059,-0.2984,-0.12718,-1.60473,1.87579
"MLMA",-1.04274,0.68934,1.92619,-3.55926,-1.93488,3.63766,-0.52416,0.33541,1.65174,-0.4743,-0.91495
"MM1S",-2.36044,-1.11549,2.0368,-2.15078,-2.61348,3.41635,1.69508,0.84634,-0.55937,0.67279,3.2329
"MMAC-SF",1.23145,0.23364,-1.19746,2.14623,-0.44347,-0.27439,-0.43323,-0.70553,-1.3297,2.29552,0.56668
"MN-60",-5.61791,-1.2957,3.06348,-1.40915,-1.02204,1.1244,0.29119,-0.07162,0.36305,-0.73098,1.97826
"Mo-T",-1.26685,-1.53634,2.51573,-2.91232,-0.51266,4.18065,-0.85565,-0.17452,5.20513,-1.30947,-1.04136
"MOG-G-CCM",3.60796,1.86536,-1.07651,0.67336,2.03362,-0.54532,-1.65149,4.50915,-0.17482,0.74733,-1.86165
"MOG-G-UVW",2.68698,3.64568,0.09204,-0.52546,0.84327,0.14422,-1.25526,2.43257,-0.36118,-0.15285,-1.65319
"MOLM-13",-3.79865,-2.70807,4.52851,-0.81957,-0.94229,1.83803,-1.76586,0.03243,0.27069,-2.71677,-0.01031
"MOLM-16",-2.49586,0.79983,1.77077,-1.91562,-0.85443,-0.26977,-0.08569,-1.27461,-1.42849,3.12799,-0.97812
"MOLP-8",-0.32523,-3.43113,1.98512,-2.59101,-2.14914,0.67724,0.52003,-1.23427,-2.00361,0.84904,2.75286
"MOLT-13",-2.23328,-2.00891,6.95671,-2.73888,-2.83461,0.85932,0.09877,1.753,-2.20218,2.15399,-0.93659
"MOLT-16",-1.62228,-2.45453,3.56679,-2.33539,-0.73504,1.66212,0.04531,-0.95806,-1.78376,-0.28743,2.45767
"MOLT-4",-4.74367,-3.97283,2.42751,-1.51317,-3.35511,0.54661,-1.39107,0.69913,-1.05884,1.27677,-1.00558
"MONO-MAC-6",-1.20898,-0.63209,3.5561,0.72591,-1.07128,3.54559,0.79223,-1.54708,1.30696,-0.4047,0.82183
"MPP-89",3.25491,0.46589,0.42024,2.01415,0.51095,1.05577,-0.77913,3.04012,0.51717,1.6647,-0.56283
"MRK-nu-1",-4.82799,-2.95412,-3.41407,-0.14898,-0.74415,-2.21483,3.27679,-0.06845,-2.81693,-1.26889,0.1221
"MS-1",-1.01166,-1.88423,1.05749,-0.80035,-3.88126,-1.78966,0.40061,1.69276,-3.13053,0.2606,1.93989
"MS751",0.75113,1.00335,0.18829,2.46151,1.31555,0.25589,2.50027,-3.32798,-0.35971,-0.74186,0.59996
"MSTO-211H",1.15543,0.21999,-2.27018,0.67113,1.79909,0.65901,0.889,-0.89876,-0.22807,1.66689,2.77214
"MV-4-11",-1.69364,-1.69066,2.94266,-1.47327,-1.19994,1.1873,-0.48786,0.75063,-1.03169,-1.77333,1.45558
"MZ1-PC",1.58467,2.36268,0.65068,-1.2209,2.55054,2.03982,-0.5801,-1.78433,2.8277,-1.41301,-4.50834
"MZ2-MEL",-0.27231,-0.1203,1.10823,-1.67386,-0.50457,-0.6593,0.24079,2.28235,-1.99464,2.43297,1.20158
"MZ7-mel",0.61139,-0.6061,0.53501,-0.41329,-0.43954,0.57995,-0.27125,-1.53192,-1.15779,0.92456,-0.42245
"NALM-6",-1.24175,2.29878,1.52018,-1.31821,-2.73691,0.46017,-2.48138,-1.30234,-1.51457,0.61356,-0.54995
"NAMALWA",-0.78889,-0.71902,3.38048,-0.23915,-1.81038,1.99319,0.94413,-1.10044,0.424,-0.09475,2.45469
"NB-4",-2.09831,0.50301,3.09972,0.50036,-1.10749,1.15596,-1.29903,0.93172,0.74304,0.24587,-0.54123
"NB(TU)1-10",-0.36414,0.23316,1.3491,-0.54097,-1.13696,-2.94959,0.10633,1.48068,-3.50002,0.67808,0.03786
"NB1",-1.37274,-1.02233,1.28312,0.30966,-0.87801,-2.65495,-1.25043,1.8233,-1.88847,0.48663,-0.30881
"NB10",0.07266,-0.56064,-0.26203,-1.28315,-0.07073,-3.27047,-0.69597,1.72316,-1.58061,1.82896,0.18869
"NB12",-0.66704,-3.29757,1.15851,-0.32064,-1.6379,-3.84578,-0.50929,1.17637,-2.96457,2.81006,1.56716
"NB13",-0.81569,-2.21047,0.2623,2.52283,-3.93644,-2.25409,-0.76394,0.598,-3.51003,0.14236,0.818
"NB14",-0.79627,-0.68818,0.24536,-0.02387,-1.6792,-3.40409,-0.92416,1.22661,-3.42221,-0.70943,3.3801
"NB17",-0.28236,-0.08943,0.8289,0.59877,-1.44395,-2.20097,-0.50693,1.16955,-3.11875,-0.61649,1.30829
"NB5",-0.06441,-1.08566,1.47559,-0.3808,-0.7872,-4.38579,-0.73872,0.21302,-1.54506,-0.22949,1.9032
"NB6",-0.48574,-1.67558,1.26191,-0.20789,-2.15933,-2.78889,-1.46866,1.58232,-3.29626,-0.08826,0.64406
"NB69",0.21854,0.61965,-0.20388,-0.18242,-0.98523,-3.05234,-1.22874,2.42921,-1.65688,3.45943,0.52902
"NB7",0.43155,1.04463,0.35474,0.32795,-2.13943,-2.43145,0.89902,1.2725,-2.42454,0.39537,1.42845
"NCC010",1.26955,-0.57855,-2.96546,5.86794,1.8341,0.65329,0.82483,-1.77775,2.0027,1.74166,0.97747
"NCC021",0.18492,-0.68907,-2.2328,1.94758,2.30311,-0.307,0.01382,-1.10159,0.62943,1.83539,1.16656
"NCCIT",-0.89073,-0.49028,0.03899,-0.50086,-0.47028,-1.92488,0.11373,-0.39849,-2.55649,-0.55899,2.81558
"NCI-H1048",-0.25144,-1.13713,-0.32028,-1.42464,-2.54476,-0.62846,-0.3823,1.74944,-0.71606,0.02457,0.37466
"NCI-H1092",-2.18094,-2.18166,1.35216,-0.60047,-4.9358,-3.34271,-1.27263,1.57803,-2.87038,-0.6406,-0.75137
"NCI-H1105",-4.6382,-3.06922,1.83684,-1.30511,-4.77642,-2.76998,0.28385,0.63946,-3.37341,-2.12954,-3.29056
"NCI-H1155",-0.79903,-1.32471,1.29395,0.26489,-1.9647,-3.95943,-0.7595,1.59413,-1.62007,-1.03269,2.4379
"NCI-H1299",0.84295,1.12985,-2.51198,0.15738,0.27016,-1.33407,1.41328,-0.60403,0.17117,-0.00311,0.93112
"NCI-H1304",-3.6897,-3.17683,-1.31419,0.08207,-1.37737,-1.46552,-1.38716,1.0174,-2.72785,0.55242,0.49346
"NCI-H1341",0.16816,-0.75888,0.44399,1.14966,-1.10307,-4.47967,-0.91557,1.42972,-1.74542,0.46228,0.85137
"NCI-H1355",1.57625,-0.1189,-0.09842,0.75328,1.59792,0.21162,1.41223,-0.48695,0.9021,1.45295,-1.4989
"NCI-H1395",1.76774,-0.30997,-2.43018,3.34024,0.48455,-0.06383,0.82897,1.94798,1.96212,1.28903,-0.49342
"NCI-H1417",-2.37594,-0.80587,0.87071,1.2063,-0.56752,-3.12546,-0.91382,-0.93364,-1.2222,-1.51414,0.31049
"NCI-H1435",-0.16085,-0.23447,0.20786,-0.93074,-0.35895,-6.95243,3.16596,-0.42424,-0.16019,-3.6798,-2.11267
"NCI-H1436",-1.28864,-2.93201,1.23165,2.24135,-0.9246,-1.85095,-0.29561,0.57441,-3.16997,-1.94407,-0.96093
"NCI-H146",-0.93086,-2.72824,1.51973,-0.99974,-1.79034,-1.53169,-1.49279,1.46065,-3.10493,-2.21872,2.16916
"NCI-H1563",1.36946,-0.23544,-2.33636,1.19892,0.06736,-0.14432,-0.54475,1.73545,-0.44607,3.60231,0.38857
"NCI-H1568",1.05384,1.20234,-0.24634,0.11915,1.43608,-0.55772,3.19174,-0.9338,0.5709,0.65473,-0.12747
"NCI-H1573",-0.4304,-0.44353,-0.59851,0.01537,0.21395,-0.66743,2.04202,-0.82826,0.44112,-1.3639,-2.59032
"NCI-H1581",-0.59099,-2.69875,0.82142,-2.12067,-1.49944,-1.3814,0.54738,1.06768,-1.80763,0.18662,-0.41756
"NCI-H1623",-0.29513,-0.74666,-0.53279,0.16537,-0.29885,-0.07195,2.67181,-2.64624,-0.76344,-1.2043,0.58097
"NCI-H1648",-0.84111,0.76064,0.35978,0.6874,1.01776,1.15854,1.67148,0.00467,2.33994,-1.62227,-2.52775
"NCI-H1650",0.66678,0.81779,-0.7147,2.59744,0.6836,-0.29532,1.37353,-2.30244,-0.43426,0.53121,-0.91991
"NCI-H1651",0.87058,-0.05653,-1.60391,1.64953,1.71609,0.70138,-1.11125,-0.23962,0.68487,1.96172,-0.65154
"NCI-H1666",0.74831,0.14538,-0.29161,1.82754,2.59848,1.18067,1.22588,-0.61901,2.87002,-0.99787,-1.98624
"NCI-H1688",-1.98617,-2.55485,0.23874,-0.60705,-0.82772,-2.11102,1.32498,-1.27171,-1.07649,-2.20682,1.06939
"NCI-H1693",-0.20597,6.34997,-1.75492,0.8582,0.42015,-0.08228,2.06581,-1.23134,0.92799,-1.57449,-1.9098
"NCI-H1694",-2.4594,-3.73688,0.76619,-3.21392,-4.59346,-3.11071,-1.02461,1.06036,-3.68176,-0.06699,-0.5221
"NCI-H1703",-0.16428,0.45708,-0.33828,-0.84218,-0.10639,-0.44759,2.21193,-1.57162,0.06776,0.93152,2.41007
"NCI-H1734",0.70198,-0.4592,-0.63649,1.49153,0.85248,0.94876,-0.64716,0.11669,2.29553,0.691,0.80675
"NCI-H1755",1.31741,-0.40652,-1.46825,0.91052,0.7701,-1.59576,-0.24767,0.08547,0.3771,1.23251,1.69378
"NCI-H1770",-1.25048,-3.45327,0.40382,-1.11731,-3.41619,-1.67464,-0.34321,-0.47369,-3.31052,-0.96417,-1.53984
"NCI-H1781",-0.76988,-2.29007,-1.09109,1.80549,0.71952,-0.42416,2.02652,-1.74096,0.73251,-1.09434,-0.67205
"NCI-H1792",1.31151,2.67127,-2.52265,2.08317,1.51847,1.36778,-0.8691,1.50235,1.76815,1.46717,0.05116
"NCI-H1793",0.22503,1.182,-2.05472,-0.30476,-0.21836,-0.14148,1.16471,-1.36979,0.62946,-0.47261,3.85723
"NCI-H1836",-0.57234,-1.65423,1.19198,-1.86619,-1.17065,-1.62006,-1.18598,-0.98453,-1.31922,-0.54028,0.31588
"NCI-H1838",-0.48363,-1.22376,-1.47295,-0.19877,0.62734,0.54091,0.2953,0.00479,0.54317,0.08366,-2.59258
"NCI-H1869",-0.56706,-0.99296,-0.21954,1.69465,0.33529,1.1096,1.97119,0.39576,1.04513,-1.61466,-1.43966
"NCI-H187",-1.27065,-0.61638,1.1796,0.02671,-1.91961,-2.33614,1.28571,-0.37355,-2.89726,-1.35421,-1.48973
"NCI-H1876",0.07362,-0.03938,-1.71459,-0.18797,-1.67418,-1.15797,-0.05805,1.46479,-2.0755,-0.4065,-0.58358
"NCI-H1915",1.96104,-0.31809,-1.89162,0.12147,0.34077,1.85967,-1.26052,-0.42647,0.44356,-0.76006,0.4471
"NCI-H1944",-0.19996,-0.68452,-0.75666,0.68904,0.49132,0.98833,2.44847,-1.58461,1.57357,-0.67995,0.82594
"NCI-H196",0.68573,0.02109,-2.77065,1.21103,-0.57076,2.18061,-2.44469,1.78771,-0.14891,0.14407,1.13506
"NCI-H1963",-1.26977,-3.00472,-0.03843,-1.38435,-7.21173,-4.03258,-0.58159,2.12222,-3.6357,-0.63381,0.10543
"NCI-H1975",0.74278,1.35052,0.3469,1.86475,0.29232,0.08715,1.055,-3.97472,0.50184,-0.81384,0.08625
"NCI-H1993",0.44241,-0.45595,0.54449,0.99465,1.74812,1.20712,1.45486,-1.54985,0.93479,-1.23328,-1.22199
"NCI-H2009",1.41909,0.74502,-1.1623,1.67169,1.87967,2.06033,0.1438,-1.18831,1.13654,-2.23568,1.14377
"NCI-H2023",0.62495,-0.18257,-1.40316,1.22151,0.53353,-0.07135,-0.01965,-1.31631,1.2809,-1.1887,1.10854
"NCI-H2029",-1.76058,-0.26354,0.65087,-1.13774,-1.28402,-0.66803,0.86548,1.49057,-0.88137,-0.40146,-0.81074
"NCI-H2030",0.7633,1.32755,-1.70413,-0.49878,2.01256,0.75191,1.12976,-1.68001,1.16804,1.16888,-1.00449
"NCI-H2052",4.05375,2.93742,-1.05141,-0.45249,1.96339,0.74003,-1.9997,3.80423,3.32739,2.36881,-0.42512
"NCI-H2066",-0.20365,-2.38455,-0.22509,1.09035,-0.03409,0.19352,-0.34008,-1.6228,1.18274,-0.3574,2.45755
"NCI-H2085",0.38397,1.89396,-0.66901,0.79098,1.11787,-4.39037,1.51144,-0.47088,-0.73311,0.25918,-1.30358
"NCI-H2087",-0.52284,-0.3572,-0.38836,0.10497,1.25825,0.50503,3.20001,-1.04782,-0.23527,-1.90638,0.13747
