"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"Ca9-22",1.05804,0.49223,-0.19914,1.2423,2.10607,-0.63254,0.88787,1.3598,0.268,-0.91807,1.08328
"CADO-ES1",0.77574,1.60742,0.89528,-2.68819,-0.15327,-2.94511,-0.73619,-0.0862,-1.89768,-0.67326,0.35799
"CAKI-1",2.43868,1.04766,-3.21704,3.81735,2.2979,0.35245,0.47267,-0.99064,1.48675,2.67928,-1.50503
"CAL-120",3.397,3.21734,-2.45255,0.27876,1.27026,-0.44383,-0.44463,-0.1994,-0.24456,1.97402,0.71926
"CAL-12T",0.84376,0.50225,0.68034,1.37011,4.38669,-0.03531,-0.39016,-3.81114,1.45538,-0.46515,0.26767
"CAL-148",-2.91876,-4.47379,-0.56997,-2.16005,-1.32169,-2.44858,2.98736,-6.13443,-1.82018,-0.37602,0.86685
"CAL-27",-0.18436,0.42687,-2.58607,-0.32706,0.83154,2.01995,-0.96421,-0.03138,2.56459,-1.45474,-2.00585
"CAL-29",0.70209,2.9493,-0.27073,-0.2626,4.95265,1.62176,1.64713,-3.79396,1.21991,-0.1246,-1.78183
"CAL-33",0.06739,1.24585,-0.18927,-0.77824,0.54452,2.06433,1.37783,0.06468,5.12142,-1.82353,-1.83564
"CAL-39",0.78556,0.5889,-1.16118,1.21383,2.60672,1.75744,0.8818,-0.45771,4.12617,-1.96827,-1.64319
"CAL-51",1.4357,-0.76218,-0.30587,3.03511,0.14871,-0.69802,-0.07416,-1.47574,-0.43559,0.94017,1.95957
"CAL-54",1.72236,2.19928,-0.80975,2.36269,2.31907,0.00949,-0.06973,-0.62095,2.202,0.56938,-1.01702
"CAL-62",1.36163,0.72296,-2.04674,-0.26332,1.02884,0.39725,0.02993,-4.141,0.05666,-0.35125,1.38786
"CAL-72",2.13063,1.56337,-1.17864,2.3011,0.12035,-0.22248,-0.99822,3.43787,0.33644,0.60813,1.47763
"CAL-78",2.83688,2.62717,-0.69471,0.80134,1.23374,0.10495,-1.36069,2.93489,0.6174,-0.49795,0.83477
"CAL-85-1",1.07519,0.88848,-0.18196,1.69374,2.20174,1.29389,1.73131,-0.09149,2.15241,-0.33905,-0.59677
